Review,Name,Profession
There's very few limits to Bubble. It is the most flexible no-code tool out there to build a webapp without code all the while having to be quite tech savvy,Vince,no job
New Responsive Engine is heading the right way!,Vince,no job
Performance of the API Connector. Load is a little too slow vs Bubble's own database.,Vince,no job
"Speed performance of the pages, even when a lot is handled by external API. A better management of on-page only necessary load would be useful.",Vince,no job
